
2025/03/28 (15:36:31) | ===> btop++ v.1.4.0
2025/03/28 (15:36:31) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/28 (16:46:30) | ===> btop++ v.1.4.0
2025/03/28 (16:46:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/28 (16:46:30) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2025/03/28 (16:46:30) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/28 (16:46:30) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/28 (19:45:26) | ===> btop++ v.1.4.0
2025/03/28 (19:45:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/28 (19:45:26) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2025/03/28 (19:45:26) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/28 (19:45:26) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/29 (00:39:14) | ===> btop++ v.1.4.0
2025/03/29 (00:39:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/29 (00:39:14) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2025/03/29 (00:39:14) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/29 (00:39:14) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/29 (00:52:18) | ===> btop++ v.1.4.0
2025/03/29 (00:52:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/29 (00:52:18) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2025/03/29 (00:52:18) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/29 (00:52:18) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/29 (01:21:16) | ===> btop++ v.1.4.0
2025/03/29 (01:21:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/29 (01:21:16) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2025/03/29 (01:21:16) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/29 (01:21:16) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/29 (01:22:12) | ===> btop++ v.1.4.0
2025/03/29 (01:22:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
